,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type
4028,182,301,50.0,40.0,10.0,4.0,1.4496070801861833,BSk,10,6.0
4029,182,302,86.0,8.0,6.0,1.0,1.251239795529159,Dfb,10,6.0
4030,182,303,86.0,8.0,6.0,1.0,2.296482795452846,Dfb,5,5.0
4031,182,304,86.0,8.0,6.0,1.0,2.1972991531243338,Dfb,1,4.0
4032,182,305,86.0,8.0,6.0,1.0,1.6632333867399325,Dfb,1,4.0
4033,182,306,50.0,40.0,10.0,4.0,2.1972991531243338,Dfa,10,6.0
4034,182,307,50.0,40.0,10.0,4.0,2.517738612954929,Dfa,10,6.0
4035,182,308,50.0,40.0,10.0,4.0,1.5106431677729688,BSk,10,6.0
4036,182,309,50.0,40.0,10.0,4.0,1.6174563210498718,BSk,10,6.0
4037,182,310,50.0,40.0,10.0,4.0,1.7318989852750803,BSk,10,6.0
4038,182,311,50.0,40.0,10.0,4.0,1.3885709925993979,BSk,10,6.0
4039,182,312,50.0,40.0,10.0,4.0,1.6327153429465397,BSk,10,6.0
4040,182,313,50.0,40.0,10.0,4.0,1.9302662699321331,BSk,10,6.0
4041,182,314,50.0,40.0,10.0,4.0,2.0294499122606453,BSk,14,1.0
4042,182,315,50.0,40.0,10.0,4.0,2.838178072785581,BSk,10,6.0
4043,182,316,86.0,8.0,6.0,1.0,1.9913023575189186,BSk,10,6.0
4044,182,317,86.0,8.0,6.0,1.0,1.4953841458763009,BSk,10,6.0
4045,182,318,86.0,8.0,6.0,1.0,1.6479743648432645,Dwa,10,6.0
4046,182,319,86.0,8.0,6.0,1.0,2.0675974670024004,Dwa,10,6.0
4047,182,320,86.0,8.0,6.0,1.0,1.6632333867399325,Dfa,14,1.0
4048,182,321,86.0,8.0,6.0,1.0,2.1972991531243338,Dfa,14,1.0
4049,182,322,86.0,8.0,6.0,1.0,2.1972991531243338,Dfa,14,1.0
4050,182,323,86.0,8.0,6.0,1.0,1.7776760509651695,Dfa,12,1.0
4051,182,324,20.0,40.0,40.0,9.0,1.2741283283741893,Dfa,12,1.0
4052,182,325,20.0,40.0,40.0,9.0,0.8392462043183286,Dfa,12,1.0
4053,182,326,20.0,40.0,40.0,9.0,0.7853818570230108,Dfa,12,1.0
4054,182,327,20.0,40.0,40.0,9.0,0.6942854962997274,Dfa,12,1.0
4055,182,328,20.0,40.0,40.0,9.0,0.4344582623365446,Dfa,12,1.0
4056,182,329,20.0,40.0,40.0,9.0,0.42725261310755513,Dfa,12,1.0
4057,182,330,20.0,40.0,40.0,9.0,0.9291387977586656,Dfa,12,1.0
4058,182,331,20.0,40.0,40.0,9.0,0.8392462043183286,Dfa,12,1.0
