,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25,C4frac,g1,lpx,psi50X,gpmax,C,bexp,bc,R2_VOD,R2_ET,N_VOD,N_ET,obsfilter,lcfilter
4908,4908,4908,4908,187,294,50.0,40.0,10.0,4.0,2.4872205691615363,BSk,10,6.0,62.2,0.0,8.992683927407974,2.0550227107989008,3.372418701275972,8.082607848091385,0.1837040712175832,3.083962560313707,0.08270333223042098,0.3005270571585672,-1.9315716386864472,847.0,72.0,1,1
4909,4909,4909,4909,187,295,50.0,40.0,10.0,4.0,2.4872205691615363,BSk,10,6.0,62.2,0.0,6.452802126175595,2.200070932611516,2.911681356637631,1.4119597772923884,0.5549510156185372,2.8557666112708024,0.07195917050232943,0.33986253810474076,-3.9061776552607705,796.0,74.0,1,1
4910,4910,4910,4910,187,296,50.0,40.0,10.0,4.0,1.9378957808804669,BSk,10,6.0,62.2,0.0,8.808118741455061,3.2397713804381905,7.003337825285472,4.850537597919573,0.11233134499160159,3.2438783228209456,0.08829336129340434,0.3359231022336847,-3.352061175647794,793.0,70.0,1,1
4911,4911,4911,4911,187,297,50.0,40.0,10.0,4.0,2.838178072785581,BSk,10,6.0,62.2,0.0,6.918725154215054,1.5923068800007523,3.1142953386563055,2.4102609042425565,1.0068112991965361,2.7478175696744422,0.06388563762716007,0.3241934451689884,-3.5032392498442544,831.0,66.0,1,1
4912,4912,4912,4912,187,298,50.0,40.0,10.0,4.0,2.8229190508888564,BSk,10,6.0,62.2,0.0,8.149068686870448,1.8510619991533994,10.02582502811602,5.639514171682203,0.9901459246334319,6.627018360987008,0.20285428683576034,0.2894954805505616,-4.799277728565976,843.0,72.0,1,1
4913,4913,4913,4913,187,299,50.0,40.0,10.0,4.0,2.456702525368144,BSk,10,6.0,62.2,0.0,9.46374545635118,3.1884182686141083,8.722920371064744,5.1129223523906795,2.297089387128966,9.228466855704301,0.27478996245587795,0.22315901254351722,-4.275264796935324,878.0,69.0,1,1
4914,4914,4914,4914,187,300,50.0,40.0,10.0,4.0,1.96841382467386,BSk,10,6.0,62.2,0.0,9.77601137508939,3.0992789308580715,6.685879901507817,4.092118415214482,0.13391740364129234,3.4356745979260914,0.0197182544823219,0.2403760552887707,-2.5171679114447527,882.0,74.0,1,1
4915,4915,4915,4915,187,301,50.0,40.0,10.0,4.0,0.9460593575952316,BSk,10,6.0,62.2,0.0,9.485200718537358,11.599556482070424,13.681738524693806,4.972726164555365,0.12287227466597472,6.112020202453051,0.26786285624768347,0.22019711656087226,-8.052397448379743,864.0,73.0,1,1
4916,4916,4916,4916,187,302,50.0,40.0,10.0,4.0,1.9073777370870744,BSk,10,6.0,62.2,0.0,9.014551702157629,2.1405895484270183,2.8882564621805806,0.31749618348839836,0.201105310449335,3.0313025960661117,0.00820589739596611,0.27731968194129086,-2.8457951042518657,858.0,77.0,1,1
4917,4917,4917,4917,187,303,50.0,40.0,10.0,4.0,2.456702525368172,BSk,10,6.0,62.2,0.0,9.54155471451805,3.1777045272884044,9.001653392575442,4.361396253792452,0.5441108542083869,9.842626485451168,0.41714198381480805,0.2229272249032873,-3.5931279499251234,887.0,76.0,1,1
4918,4918,4918,4918,187,304,50.0,40.0,10.0,4.0,2.059967956054038,BSk,10,6.0,62.2,0.05,9.240666497211006,3.3961571663480714,8.442517969239564,0.16943611430168318,0.08891301072932797,9.733091711766864,0.6919174726196127,0.21949306654399636,-4.735615326313264,880.0,81.0,1,0
4921,4921,4921,4921,187,307,50.0,40.0,10.0,4.0,1.2512397955291592,BSk,10,6.0,62.2,0.05,6.899700095422188,5.571458906231851,7.412855644433179,2.058499662477262,0.3034188963774608,8.835508935887013,0.629220122619149,0.21424972924968866,-5.773267580829258,910.0,79.0,1,0
4922,4922,4922,4922,187,308,75.0,15.0,10.0,2.0,1.1902037079423735,BSk,10,6.0,62.2,39.32,7.158581171622902,10.548938647765645,12.770071592520853,5.251351534598085,1.449511332298619,4.220269264569743,0.13611866750955298,0.18177442564712887,-1.4556811371800986,888.0,82.0,1,1
4932,4932,4932,4932,187,318,86.0,8.0,6.0,1.0,1.4343480582895154,Dfa,12,1.0,54.0,32.93,0.30471722047341854,1.8627198658979396,5.673626231191693,0.06678744349591789,0.08619577151690512,7.906743710082442,0.1432154383879641,0.4686222726498901,-0.16214843216849362,905.0,80.0,1,1
4971,4971,4971,4971,187,357,86.0,8.0,6.0,1.0,2.9221026932173966,Dfb,14,1.0,62.2,0.85,2.77366097564546,2.0113295825120474,4.236721800100315,3.09424336937267,12.503406486747856,9.133403135945281,0.06917692002482001,0.3146579411706357,-0.18161694820661323,795.0,73.0,1,1
5039,5039,5039,5039,188,239,86.0,8.0,6.0,1.0,2.876325627527308,Csb,7,3.0,54.0,0.03,0.5510182867194674,0.15286561029134083,3.0848462073193894,8.690286209295191,11.96676569708508,3.3029587130826714,0.07075324173503655,0.2632774147707906,-3.0434513863287904,907.0,81.0,1,0
5040,5040,5040,5040,188,240,86.0,8.0,6.0,1.0,2.624551766231832,BSk,10,6.0,62.2,0.01,4.571023607027483,0.9936790176073524,8.097811288973343,2.1850232125540723,17.19367050484872,6.151112952617947,0.049749382361667614,0.39648439941891533,-4.3216580347592,839.0,77.0,1,0
5041,5041,5041,5041,188,241,86.0,8.0,6.0,1.0,2.59403372243844,BSk,7,3.0,54.0,0.01,3.2139604585777084,1.0192026582707618,3.730678125268064,0.028881690747264814,15.071472794469017,6.963912758942018,0.06249469374604397,0.4976021568883705,-0.5068510769760224,834.0,78.0,1,0
5042,5042,5042,5042,188,242,86.0,8.0,6.0,1.0,2.5024795910582607,BSk,7,3.0,54.0,0.01,2.7171825252262334,1.1542342107462116,6.354451095191706,0.020511600429086282,13.750067069545151,5.3794499865119345,0.054463311059881295,0.47238203192921724,-0.24971446694009303,841.0,73.0,1,0
5043,5043,5043,5043,188,243,86.0,8.0,6.0,1.0,2.6092927443351077,BSk,7,3.0,54.0,0.01,0.25921933977184936,1.0957872067042584,8.975445430454139,0.0049986002363019534,9.342416412509095,1.5541313184851349,0.32149254066537597,0.4018873438076538,-0.21352588765572555,880.0,77.0,1,0
5045,5045,5045,5045,188,245,86.0,8.0,6.0,1.0,3.0518043793393304,BSk,10,6.0,62.2,0.0,0.028343466030820455,0.31995071946736375,1.280745614357704,6.87867796502124,4.90358900250007,8.15429518629328,0.0915622015588443,0.12114759910688355,-0.02107340194701912,790.0,68.0,1,1
5047,5047,5047,5047,188,247,86.0,8.0,6.0,1.0,3.3264667734798654,BSk,10,6.0,62.2,0.0,0.5971052410756388,12.037047851779375,13.87376486939538,0.0012148167787951257,0.6123563989159656,1.5255514222286548,0.917766171875718,0.3607148619772197,-0.2831246840518895,809.0,77.0,1,1
