,index,Unnamed: 0,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25
511,9500,9500,127,883,37.0,44.0,19.0,4.0,0.7969448047269528,Dfb,5,5.0,55.0
512,9506,9506,127,943,28.0,47.0,25.0,4.0,1.6626230258640868,Dfb,5,5.0,55.0
513,9518,9518,127,990,42.0,37.0,21.0,4.0,0.2511126370133528,Dfc,5,5.0,55.0
514,9539,9539,127,1011,42.0,37.0,21.0,4.0,0.2857336622500788,Dfc,5,5.0,55.0
515,9559,9559,127,1049,48.0,40.0,12.0,4.0,0.7156311724863341,Dfc,5,5.0,55.0
516,9591,9591,128,272,20.0,40.0,40.0,9.0,0.3662165255207697,Dfc,5,5.0,55.0
517,9592,9592,128,273,20.0,40.0,40.0,9.0,0.8341598636861178,Dfc,5,5.0,55.0
518,9603,9603,128,284,73.0,18.0,9.0,2.0,0.2881920602223234,Dfc,1,4.0,71.1
519,9607,9607,128,288,73.0,18.0,9.0,2.0,0.29538075498254346,Dfc,1,4.0,71.1
520,9617,9617,128,299,73.0,18.0,9.0,2.0,0.19341657977506588,Dfc,1,4.0,71.1
521,9643,9643,128,450,23.0,29.0,48.0,10.0,0.16981595924150972,Dfc,7,3.0,54.0
522,9648,9648,128,773,38.0,39.0,23.0,4.0,1.2207217517357662,Cfb,1,4.0,71.1
523,9669,9669,128,842,37.0,44.0,19.0,4.0,0.43471257936815627,Dfb,5,5.0,55.0
524,9674,9674,128,847,41.0,37.0,22.0,4.0,0.9002822919051141,Dfb,5,5.0,55.0
525,9696,9696,128,877,79.0,13.0,8.0,1.0,1.2817578393225515,Dfb,5,5.0,55.0
526,9697,9697,128,878,42.0,38.0,20.0,4.0,1.2664988174258272,Dfb,12,1.0,54.0
527,9703,9703,128,885,41.0,36.0,23.0,4.0,1.8005645838102282,Dfb,5,5.0,55.0
528,9720,9720,128,990,42.0,38.0,20.0,4.0,0.8677466663276245,Dfb,5,5.0,55.0
529,9732,9732,128,1002,42.0,38.0,20.0,4.0,0.3509575036240449,Dfc,5,5.0,55.0
530,9738,9738,128,1008,42.0,37.0,21.0,4.0,0.29019268753766925,Dfc,5,5.0,55.0
531,9761,9761,128,1092,37.0,44.0,19.0,4.0,0.9460593575952316,Dfc,5,5.0,55.0
532,9765,9765,128,1132,50.0,40.0,10.0,4.0,0.4371879318091746,Dfc,5,5.0,55.0
533,9802,9802,129,315,37.0,46.0,17.0,4.0,0.16488220882824464,Dfc,1,4.0,71.1
534,9825,9825,129,777,38.0,39.0,23.0,4.0,1.1902037079423735,Dfb,1,4.0,71.1
535,9833,9833,129,820,42.0,38.0,20.0,4.0,0.8392462043183286,Dfb,5,5.0,55.0
536,9884,9884,129,939,37.0,44.0,19.0,4.0,2.2125581750210017,Dfb,5,5.0,55.0
537,9906,9906,129,997,42.0,38.0,20.0,4.0,0.8782584369675702,Dfb,5,5.0,55.0
538,9912,9912,129,1005,47.0,29.0,24.0,4.0,0.7302967879759391,Dfc,5,5.0,55.0
539,9914,9914,129,1007,42.0,38.0,20.0,4.0,0.7427922314624551,Dfc,5,5.0,55.0
540,9919,9919,129,1021,48.0,40.0,12.0,4.0,0.25485957461242953,Dfc,5,5.0,55.0
541,9928,9928,129,1030,19.0,32.0,49.0,10.0,0.300653594771292,Dfc,5,5.0,55.0
542,9956,9956,130,268,37.0,46.0,17.0,4.0,0.4359163466511144,Dfc,1,4.0,71.1
543,9960,9960,130,272,20.0,40.0,40.0,9.0,0.4577706569009479,Dfc,5,5.0,55.0
544,9961,9961,130,273,32.0,49.0,19.0,4.0,0.7833473207701177,Dfc,1,4.0,71.1
545,9975,9975,130,298,73.0,18.0,9.0,2.0,0.2655578444088896,Dfc,1,4.0,71.1
546,9978,9978,130,301,37.0,46.0,17.0,4.0,0.2709154565415089,Dfc,1,4.0,71.1
547,9980,9980,130,303,37.0,46.0,17.0,4.0,0.2278680603240485,Dfc,1,4.0,71.1
548,9983,9983,130,306,37.0,46.0,17.0,4.0,0.22217135881594816,Dfc,1,4.0,71.1
549,10001,10001,130,450,23.0,29.0,48.0,10.0,0.18117545332016305,Dfc,7,3.0,54.0
550,10033,10033,130,854,73.0,18.0,9.0,2.0,0.3051804379339558,Dfb,5,5.0,55.0
551,10061,10061,130,917,42.0,36.0,22.0,4.0,2.4948500801098987,Dfb,12,1.0,54.0
552,10119,10119,130,1056,37.0,42.0,21.0,4.0,0.16193213126154976,Dfc,5,5.0,55.0
553,10130,10130,130,1273,42.0,38.0,20.0,4.0,0.2424319490010106,Dfc,7,3.0,54.0
554,10187,10187,131,701,49.0,28.0,23.0,4.0,0.3286115137797906,Cfc,5,5.0,55.0
555,10189,10189,131,703,37.0,44.0,19.0,4.0,0.38493425904737305,Cfc,5,5.0,55.0
556,10203,10203,131,780,42.0,38.0,20.0,4.0,0.8392462043183286,Dfb,1,4.0,71.1
557,10220,10220,131,841,41.0,37.0,22.0,4.0,0.2634215813433545,Dfb,5,5.0,55.0
558,10239,10239,131,881,19.0,32.0,49.0,10.0,0.5951018539711868,Dfb,5,5.0,55.0
559,10242,10242,131,884,41.0,36.0,23.0,4.0,0.6561379415579722,Dfb,5,5.0,55.0
560,10258,10258,131,935,38.0,39.0,23.0,4.0,2.5787747005417145,Dfb,5,5.0,55.0
561,10278,10278,131,1000,89.0,6.0,5.0,0.0,0.2725261310750477,Dfb,5,5.0,55.0
562,10284,10284,131,1023,19.0,32.0,49.0,10.0,0.5409831896442588,Dfc,5,5.0,55.0
563,10308,10308,131,1055,19.0,32.0,49.0,10.0,0.9616235599298548,Dfc,5,5.0,55.0
