,Unnamed: 0,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25
10998,10998,224,288,86.0,10.0,4.0,1.0,3.0212863355459376,BSk,10,6.0,62.2
10999,10999,224,289,37.0,46.0,17.0,4.0,3.0441748683909684,BSk,10,6.0,62.2
11000,11000,224,290,86.0,10.0,4.0,1.0,1.7318989852750803,BSk,10,6.0,62.2
11001,11001,224,291,86.0,10.0,4.0,1.0,1.7242694743267182,BSk,10,6.0,62.2
11002,11002,224,292,86.0,8.0,6.0,1.0,1.0452429999237438,BWk,7,3.0,54.0
11003,11003,224,293,86.0,8.0,6.0,1.0,1.4801251239795759,BWk,10,6.0,62.2
11004,11004,224,294,86.0,8.0,6.0,1.0,1.5640497444114203,BSk,7,3.0,54.0
11005,11005,224,295,86.0,8.0,6.0,1.0,2.250705729762757,BSk,7,3.0,54.0
11006,11006,224,296,86.0,8.0,6.0,1.0,2.517738612954929,BSk,10,6.0,62.2
11007,11007,224,297,86.0,8.0,6.0,1.0,3.4027618829633184,BSk,10,6.0,62.2
11008,11008,224,298,18.0,61.0,21.0,3.0,2.0294499122606453,BSk,10,6.0,62.2
11009,11009,224,299,18.0,61.0,21.0,3.0,1.2359807736324342,BSk,10,6.0,62.2
11010,11010,224,300,18.0,61.0,21.0,3.0,1.0833905546654703,BSk,10,6.0,62.2
11011,11011,224,301,18.0,61.0,21.0,3.0,1.0833905546654703,BSk,7,3.0,54.0
11012,11012,224,302,86.0,8.0,6.0,1.0,1.1902037079423735,BSk,10,6.0,62.2
11013,11013,224,303,86.0,8.0,6.0,1.0,4.943923094529679,BSk,10,6.0,62.2
11014,11014,224,304,86.0,8.0,6.0,1.0,5.416952773327239,BSk,10,6.0,62.2
11015,11015,224,305,86.0,8.0,6.0,1.0,4.257267109178315,BSk,7,3.0,54.0
11016,11016,224,306,86.0,8.0,6.0,1.0,4.310673685816767,BSk,10,6.0,62.2
11017,11017,224,307,86.0,8.0,6.0,1.0,2.838178072785581,BSk,10,6.0,62.2
11018,11018,224,308,86.0,8.0,6.0,1.0,2.288853284504484,BSk,10,6.0,62.2
11019,11019,224,309,86.0,8.0,6.0,1.0,3.006027313649213,BSk,10,6.0,62.2
11020,11020,224,310,86.0,8.0,6.0,1.0,2.6779583428702547,BSk,10,6.0,62.2
11021,11021,224,311,86.0,8.0,6.0,1.0,3.2501716639963547,BSk,10,6.0,62.2
11022,11022,224,312,86.0,8.0,6.0,1.0,4.592965590905664,BSk,10,6.0,62.2
11023,11023,224,313,20.0,40.0,40.0,9.0,3.2654306858930795,BSk,10,6.0,62.2
11024,11024,224,314,20.0,40.0,40.0,9.0,3.3417257953765334,BSk,10,6.0,62.2
11025,11025,224,315,20.0,40.0,40.0,9.0,2.9907682917525444,BSk,10,6.0,62.2
11026,11026,224,316,86.0,8.0,6.0,1.0,3.2425421530480207,BSk,10,6.0,62.2
11027,11027,224,317,86.0,8.0,6.0,1.0,3.5095750362402214,BSk,10,6.0,62.2
11028,11028,224,318,75.0,15.0,10.0,2.0,3.1738765545129013,BSk,10,6.0,62.2
11029,11029,224,319,75.0,15.0,10.0,2.0,3.189135576409569,BSk,10,6.0,62.2
11030,11030,224,320,75.0,15.0,10.0,2.0,2.838178072785581,BSk,10,6.0,62.2
11031,11031,224,321,75.0,15.0,10.0,2.0,2.548256656748322,BSk,10,6.0,62.2
11032,11032,224,322,75.0,15.0,10.0,2.0,2.5940337224384398,Cfa,10,6.0,62.2
11033,11033,224,323,75.0,15.0,10.0,2.0,2.700846875715285,Cfa,10,6.0,62.2
11034,11034,224,324,75.0,15.0,10.0,2.0,3.2501716639963547,Cfa,10,6.0,62.2
11035,11035,224,325,75.0,15.0,10.0,2.0,3.3188372625315026,Cfa,10,6.0,62.2
